[2026-03-03 00:33:38] [INFO    ] discord.client: logging in using static token
[2026-03-03 00:33:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-03-03 00:33:38] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-03-03 00:33:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1478127416336715816', 'username': 'fixupx bot', 'avatar': None, 'discriminator': '6500', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-03-03 00:33:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-03-03 00:33:38] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-03-03 00:33:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1478127416336715816', 'name': 'fixupx bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1478127416336715816', 'username': 'fixupx bot', 'avatar': None, 'discriminator': '6500', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '7e828ec86c3af06ada8778421823cf71b48d23b15302ce4e86d224926f816a18', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '518800352623984672', 'username': 'poulman53', 'avatar': '6010c0df170eb7515407a470a57767be', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 263195, 'global_name': 'RacoonWizardo', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#04041b', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-03-03 00:33:38] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-03-03 00:33:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-mmxh",{"micros":0.0}]']}}
[2026-03-03 00:33:38] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-03-03 00:33:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-03-03 00:33:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'fixupx bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1478127416336715816', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6500', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '07aaea6b8879da9fc244c1f7a495c900', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '689197396542226433'}, {'unavailable': True, 'id': '1218828797139226634'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['denmark', 'stockholm', 'rotterdam', 'frankfurt', 'warsaw'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1478127416336715816', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-mmxh",{"micros":116325,"calls":["id_created",{"micros":475,"calls":[]},"session_lookup_time",{"micros":2034,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-74",{"micros":113559,"calls":["start_session",{"micros":87205,"calls":["discord-api-rpc-c955bdf78-xd4n6",{"micros":33986,"calls":["get_user",{"micros":5561},"get_guilds",{"micros":3937},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":9},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1207},"apex_experiments",{"micros":43408},"sessions_experiments",{"micros":6},"user_activities",{"micros":3},"played_application_ids",{"micros":3},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":39,"calls":[]},"presence_started",{"micros":6177,"calls":[]},"guilds_started",{"micros":103,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":19952,"calls":[]},"connect_finished",{"micros":19968,"calls":[]},"build_ready",{"micros":62,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-03-03 00:33:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-03 00:33:39] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 07aaea6b8879da9fc244c1f7a495c900).
[2026-03-03 00:33:39] [DEBUG   ] discord.client: Dispatching event connect
